id,member_id,loan_amnt,funded_amnt,term,int_rate,grade,home_ownership,loan_status
743268,941494.0,15000.0,15000.0, 36 months, 13.49%,C,RENT,Fully Paid
1059186,1290787.0,7000.0,7000.0, 36 months, 14.27%,C,RENT,Fully Paid
364362,374898.0,2500.0,2500.0, 36 months,  8.00%,A,OWN,Fully Paid
817797,1025671.0,10000.0,10000.0, 36 months, 15.99%,D,RENT,Charged Off
971762,1193311.0,12000.0,12000.0, 36 months, 11.71%,B,RENT,Fully Paid
726272,921618.0,8000.0,8000.0, 36 months,  7.66%,A,RENT,Fully Paid
388502,421919.0,20000.0,20000.0, 36 months, 12.21%,B,MORTGAGE,Fully Paid
636930,815902.0,2000.0,2000.0, 36 months,  6.54%,A,RENT,Fully Paid
739767,937375.0,10000.0,10000.0, 60 months, 10.00%,B,RENT,Charged Off
418062,487728.0,6000.0,6000.0, 36 months, 12.21%,B,MORTGAGE,Does not meet the credit policy. Status:Fully Paid
1040942,1271153.0,6000.0,6000.0, 36 months,  7.90%,A,MORTGAGE,Fully Paid
1060372,1292123.0,7200.0,7200.0, 36 months,  7.90%,A,RENT,Fully Paid
1036336,1266201.0,19000.0,19000.0, 60 months, 20.30%,E,MORTGAGE,Charged Off
987633,1211667.0,6000.0,6000.0, 36 months, 12.42%,B,RENT,Charged Off
373376,393343.0,5000.0,5000.0, 36 months, 10.95%,B,RENT,Fully Paid
266047,262721.0,10000.0,10000.0, 36 months, 11.34%,C,RENT,Fully Paid
714585,908019.0,17000.0,17000.0, 60 months, 15.65%,D,MORTGAGE,Fully Paid
662054,846667.0,20000.0,20000.0, 60 months, 13.06%,C,RENT,Fully Paid
534516,690805.0,4000.0,4000.0, 36 months, 14.84%,D,RENT,Fully Paid
969660,1099678.0,14000.0,14000.0, 36 months, 12.42%,B,RENT,Fully Paid
553809,713524.0,25000.0,25000.0, 36 months, 15.95%,D,RENT,Fully Paid
356166,361266.0,3000.0,3000.0, 36 months, 14.75%,E,RENT,Does not meet the credit policy. Status:Fully Paid
582773,748898.0,10000.0,10000.0, 60 months, 11.49%,B,RENT,Fully Paid
684817,874335.0,4000.0,4000.0, 36 months,  6.92%,A,MORTGAGE,Fully Paid
698305,889733.0,29700.0,29700.0, 60 months, 16.40%,E,MORTGAGE,Fully Paid
1032418,1261855.0,1000.0,1000.0, 36 months, 15.96%,C,RENT,Fully Paid
